date,dayofyear,timeofday,Solar Power Output
2022-01-29 00:00:00,29,0,0.0
2022-01-29 00:15:00,29,900,0.0
2022-01-29 00:30:00,29,1800,0.0
2022-01-29 00:45:00,29,2700,0.0
2022-01-29 01:00:00,29,3600,0.0
2022-01-29 01:15:00,29,4500,0.0
2022-01-29 01:30:00,29,5400,0.0
2022-01-29 01:45:00,29,6300,0.0
2022-01-29 02:00:00,29,7200,0.0
2022-01-29 02:15:00,29,8100,0.0
2022-01-29 02:30:00,29,9000,0.0
2022-01-29 02:45:00,29,9900,0.0
2022-01-29 03:00:00,29,10800,0.0
2022-01-29 03:15:00,29,11700,0.0
2022-01-29 03:30:00,29,12600,0.0
2022-01-29 03:45:00,29,13500,0.0
2022-01-29 04:00:00,29,14400,0.0
2022-01-29 04:15:00,29,15300,0.0
2022-01-29 04:30:00,29,16200,0.0
2022-01-29 04:45:00,29,17100,0.0
2022-01-29 05:00:00,29,18000,0.0
2022-01-29 05:15:00,29,18900,0.0
2022-01-29 05:30:00,29,19800,0.0
2022-01-29 05:45:00,29,20700,0.0
2022-01-29 06:00:00,29,21600,0.0
2022-01-29 06:15:00,29,22500,-0.002478582202
2022-01-29 06:30:00,29,23400,38.096233017199
2022-01-29 06:45:00,29,24300,156.121889750163
2022-01-29 07:00:00,29,25200,320.80229695638
2022-01-29 07:15:00,29,26100,702.517557779948
2022-01-29 07:30:00,29,27000,1034.48283386231
2022-01-29 07:45:00,29,27900,1393.23221842448
2022-01-29 08:00:00,29,28800,1704.220703125
2022-01-29 08:15:00,29,29700,2037.51204427083
2022-01-29 08:30:00,29,30600,2302.53499348958
2022-01-29 08:45:00,29,31500,2635.14282226563
2022-01-29 09:00:00,29,32400,3076.67903645833
2022-01-29 09:15:00,29,33300,3375.70239257813
2022-01-29 09:30:00,29,34200,3703.98665364583
2022-01-29 09:45:00,29,35100,1328.64769442993
2022-01-29 10:00:00,29,36000,2762.49878103888
2022-01-29 10:15:00,29,36900,4093.2373046875
2022-01-29 10:30:00,29,37800,4611.38753255208
2022-01-29 10:45:00,29,38700,2295.80063883464
2022-01-29 11:00:00,29,39600,1030.17184146424
2022-01-29 11:15:00,29,40500,-0.001836169977
2022-01-29 11:30:00,29,41400,1113.28303604329
2022-01-29 11:45:00,29,42300,1017.53439889693
2022-01-29 12:00:00,29,43200,1527.51307700338
2022-01-29 12:15:00,29,44100,2370.35031471227
2022-01-29 12:30:00,29,45000,-0.001394654721
2022-01-29 12:45:00,29,45900,301.214874354308
2022-01-29 13:00:00,29,46800,1052.16172281901
2022-01-29 13:15:00,29,47700,525.558680167305
2022-01-29 13:30:00,29,48600,1469.79473576078
2022-01-29 13:45:00,29,49500,1488.55630820737
2022-01-29 14:00:00,29,50400,1423.6181188062
2022-01-29 14:15:00,29,51300,4073.68725585938
2022-01-29 14:30:00,29,52200,3841.97615559896
2022-01-29 14:45:00,29,53100,3655.54541015625
2022-01-29 15:00:00,29,54000,3458.34806315104
2022-01-29 15:15:00,29,54900,3201.12084960938
2022-01-29 15:30:00,29,55800,2889.74886067708
2022-01-29 15:45:00,29,56700,2621.92643229167
2022-01-29 16:00:00,29,57600,2338.36832682292
2022-01-29 16:15:00,29,58500,2005.81266276042
2022-01-29 16:30:00,29,59400,1620.10701497396
2022-01-29 16:45:00,29,60300,1345.93037923177
2022-01-29 17:00:00,29,61200,1019.7368367513
2022-01-29 17:15:00,29,62100,725.233479817708
2022-01-29 17:30:00,29,63000,408.545888264974
2022-01-29 17:45:00,29,63900,194.764607747396
2022-01-29 18:00:00,29,64800,67.533584594727
2022-01-29 18:15:00,29,65700,-5.604158719381
2022-01-29 18:30:00,29,66600,-17.729523658752
2022-01-29 18:45:00,29,67500,0.0
2022-01-29 19:00:00,29,68400,0.0
2022-01-29 19:15:00,29,69300,0.0
2022-01-29 19:30:00,29,70200,0.0
2022-01-29 19:45:00,29,71100,0.0
2022-01-29 20:00:00,29,72000,0.0
2022-01-29 20:15:00,29,72900,0.0
2022-01-29 20:30:00,29,73800,0.0
2022-01-29 20:45:00,29,74700,0.0
2022-01-29 21:00:00,29,75600,0.0
2022-01-29 21:15:00,29,76500,0.0
2022-01-29 21:30:00,29,77400,0.0
2022-01-29 21:45:00,29,78300,0.0
2022-01-29 22:00:00,29,79200,0.0
2022-01-29 22:15:00,29,80100,0.0
2022-01-29 22:30:00,29,81000,0.0
2022-01-29 22:45:00,29,81900,0.0
2022-01-29 23:00:00,29,82800,0.0
2022-01-29 23:15:00,29,83700,0.0
2022-01-29 23:30:00,29,84600,0.0
2022-01-29 23:45:00,29,85500,0.0
2022-01-30 00:00:00,30,0,0.0
2022-01-30 00:15:00,30,900,0.0
2022-01-30 00:30:00,30,1800,0.0
2022-01-30 00:45:00,30,2700,0.0
2022-01-30 01:00:00,30,3600,0.0
2022-01-30 01:15:00,30,4500,0.0
2022-01-30 01:30:00,30,5400,0.0
2022-01-30 01:45:00,30,6300,0.0
2022-01-30 02:00:00,30,7200,0.0
2022-01-30 02:15:00,30,8100,0.0
2022-01-30 02:30:00,30,9000,0.0
2022-01-30 02:45:00,30,9900,0.0
2022-01-30 03:00:00,30,10800,0.0
2022-01-30 03:15:00,30,11700,0.0
2022-01-30 03:30:00,30,12600,0.0
2022-01-30 03:45:00,30,13500,0.0
2022-01-30 04:00:00,30,14400,0.0
2022-01-30 04:15:00,30,15300,0.0
2022-01-30 04:30:00,30,16200,0.0
2022-01-30 04:45:00,30,17100,0.0
2022-01-30 05:00:00,30,18000,0.0
2022-01-30 05:15:00,30,18900,0.0
2022-01-30 05:30:00,30,19800,0.0
2022-01-30 05:45:00,30,20700,0.0
2022-01-30 06:00:00,30,21600,0.0
2022-01-30 06:15:00,30,22500,0.0
2022-01-30 06:30:00,30,23400,10.488557582333
2022-01-30 06:45:00,30,24300,130.125661214193
2022-01-30 07:00:00,30,25200,335.081390380859
2022-01-30 07:15:00,30,26100,690.123881022135
2022-01-30 07:30:00,30,27000,1024.49668375651
2022-01-30 07:45:00,30,27900,1300.69791666667
2022-01-30 08:00:00,30,28800,1604.07735188802
2022-01-30 08:15:00,30,29700,1910.5927734375
2022-01-30 08:30:00,30,30600,2236.06892903646
2022-01-30 08:45:00,30,31500,2526.3642578125
2022-01-30 09:00:00,30,32400,2572.06311035156
2022-01-30 09:15:00,30,33300,3251.81803385417
2022-01-30 09:30:00,30,34200,2943.4150390625
2022-01-30 09:45:00,30,35100,3952.18570963542
2022-01-30 10:00:00,30,36000,2388.99510829174
2022-01-30 10:15:00,30,36900,4306.88932291667
2022-01-30 10:30:00,30,37800,3144.62284342448
2022-01-30 10:45:00,30,38700,2406.1572265625
2022-01-30 11:00:00,30,39600,-0.001707951538
2022-01-30 11:15:00,30,40500,-0.002020252131
2022-01-30 11:30:00,30,41400,2593.35245768229
2022-01-30 11:45:00,30,42300,1370.27429199219
2022-01-30 12:00:00,30,43200,-0.001535028103
2022-01-30 12:15:00,30,44100,-0.000228531581
2022-01-30 12:30:00,30,45000,-0.001712786616
2022-01-30 12:45:00,30,45900,-0.001626989222
2022-01-30 13:00:00,30,46800,-0.001718162055
2022-01-30 13:15:00,30,47700,-0.001601009242
2022-01-30 13:30:00,30,48600,2854.22400178361
2022-01-30 13:45:00,30,49500,1415.58557467217
2022-01-30 14:00:00,30,50400,1376.85524026662
2022-01-30 14:15:00,30,51300,2675.1439335879
2022-01-30 14:30:00,30,52200,2504.62320004481
2022-01-30 14:45:00,30,53100,3584.29012044271
2022-01-30 15:00:00,30,54000,3379.95434570313
2022-01-30 15:15:00,30,54900,3104.55590820313
2022-01-30 15:30:00,30,55800,2806.7353515625
2022-01-30 15:45:00,30,56700,2583.03304036458
2022-01-30 16:00:00,30,57600,2277.03247070313
2022-01-30 16:15:00,30,58500,1941.95397949219
2022-01-30 16:30:00,30,59400,1661.03153483073
2022-01-30 16:45:00,30,60300,1296.69230143229
2022-01-30 17:00:00,30,61200,897.899007161458
2022-01-30 17:15:00,30,62100,651.76991780599
2022-01-30 17:30:00,30,63000,417.586059570312
2022-01-30 17:45:00,30,63900,211.524266560872
2022-01-30 18:00:00,30,64800,68.625090281169
2022-01-30 18:15:00,30,65700,-2.16764720281
2022-01-30 18:30:00,30,66600,-16.340410232544
2022-01-30 18:45:00,30,67500,0.0
2022-01-30 19:00:00,30,68400,0.0
2022-01-30 19:15:00,30,69300,0.0
2022-01-30 19:30:00,30,70200,0.0
2022-01-30 19:45:00,30,71100,0.0
2022-01-30 20:00:00,30,72000,0.0
2022-01-30 20:15:00,30,72900,0.0
2022-01-30 20:30:00,30,73800,0.0
2022-01-30 20:45:00,30,74700,0.0
2022-01-30 21:00:00,30,75600,0.0
2022-01-30 21:15:00,30,76500,0.0
2022-01-30 21:30:00,30,77400,0.0
2022-01-30 21:45:00,30,78300,0.0
2022-01-30 22:00:00,30,79200,0.0
2022-01-30 22:15:00,30,80100,0.0
2022-01-30 22:30:00,30,81000,0.0
2022-01-30 22:45:00,30,81900,0.0
2022-01-30 23:00:00,30,82800,0.0
2022-01-30 23:15:00,30,83700,0.0
2022-01-30 23:30:00,30,84600,0.0
2022-01-30 23:45:00,30,85500,0.0
2022-01-31 00:00:00,31,0,0.0
2022-01-31 00:15:00,31,900,0.0
2022-01-31 00:30:00,31,1800,0.0
2022-01-31 00:45:00,31,2700,0.0
2022-01-31 01:00:00,31,3600,0.0
2022-01-31 01:15:00,31,4500,0.0
2022-01-31 01:30:00,31,5400,0.0
2022-01-31 01:45:00,31,6300,0.0
2022-01-31 02:00:00,31,7200,0.0
2022-01-31 02:15:00,31,8100,0.0
2022-01-31 02:30:00,31,9000,0.0
2022-01-31 02:45:00,31,9900,0.0
2022-01-31 03:00:00,31,10800,0.0
2022-01-31 03:15:00,31,11700,0.0
2022-01-31 03:30:00,31,12600,0.0
2022-01-31 03:45:00,31,13500,0.0
2022-01-31 04:00:00,31,14400,0.0
2022-01-31 04:15:00,31,15300,0.0
2022-01-31 04:30:00,31,16200,0.0
2022-01-31 04:45:00,31,17100,0.0
2022-01-31 05:00:00,31,18000,0.0
2022-01-31 05:15:00,31,18900,0.0
2022-01-31 05:30:00,31,19800,0.0
2022-01-31 05:45:00,31,20700,0.0
2022-01-31 06:00:00,31,21600,0.0
2022-01-31 06:15:00,31,22500,0.0
2022-01-31 06:30:00,31,23400,10.399199576816
2022-01-31 06:45:00,31,24300,88.862930297852
2022-01-31 07:00:00,31,25200,279.951380411784
2022-01-31 07:15:00,31,26100,438.945098876953
2022-01-31 07:30:00,31,27000,903.182861328125
2022-01-31 07:45:00,31,27900,1210.826171875
2022-01-31 08:00:00,31,28800,1992.00789388021
2022-01-31 08:15:00,31,29700,2071.25805664063
2022-01-31 08:30:00,31,30600,1317.73116048177
2022-01-31 08:45:00,31,31500,1641.47448730469
2022-01-31 09:00:00,31,32400,3164.63614908854
2022-01-31 09:15:00,31,33300,2377.36938476563
2022-01-31 09:30:00,31,34200,1124.67177327474
2022-01-31 09:45:00,31,35100,3329.01843261719
2022-01-31 10:00:00,31,36000,1539.93221028646
2022-01-31 10:15:00,31,36900,422.285998311748
2022-01-31 10:30:00,31,37800,500.545939930986
2022-01-31 10:45:00,31,38700,2512.2196909391
2022-01-31 11:00:00,31,39600,1026.90464274089
2022-01-31 11:15:00,31,40500,1899.89096352342
2022-01-31 11:30:00,31,41400,-0.001725044451
2022-01-31 11:45:00,31,42300,3274.07655649349
2022-01-31 12:00:00,31,43200,5046.69563802083
2022-01-31 12:15:00,31,44100,3148.64610498775
2022-01-31 12:30:00,31,45000,3225.06438821535
2022-01-31 12:45:00,31,45900,1541.08364947994
2022-01-31 13:00:00,31,46800,-0.001673312198
2022-01-31 13:15:00,31,47700,1539.70857294727
2022-01-31 13:30:00,31,48600,2087.85480202839
2022-01-31 13:45:00,31,49500,1444.97018157442
2022-01-31 14:00:00,31,50400,4401.169921875
2022-01-31 14:15:00,31,51300,1436.90224664542
2022-01-31 14:30:00,31,52200,2499.36526586748
2022-01-31 14:45:00,31,53100,3703.16292317708
2022-01-31 15:00:00,31,54000,3296.04654947917
2022-01-31 15:15:00,31,54900,3284.28295898438
